key,in_text,authors,year,title,source,doi,url,note
sodersten_2018,"Södersten et al., 2018","Södersten, C.-J. H., Wood, R., & Hertwich, E. G.",2018,Endogenizing capital in MRIO models: The implications for consumption-based accounting,"Environmental Science & Technology, 52(22), 13250-13259",10.1021/acs.est.8b02791,,Capital endogenisation implemented in layer 11
stadler_2018,"Stadler et al., 2018","Stadler, K., Wood, R., Bulavskaya, T., Södersten, C.-J., Simas, M., Schmidt, S., Usubiaga, A., Acosta-Fernández, J., Kuenen, J., Bruckner, M., Giljum, S., Lutter, S., Merciai, S., Schmidt, J. H., Theurl, M. C., Plutzar, C., Kastner, T., Eisenmenger, N., Erb, K.-H., de Koning, A., & Tukker, A.",2018,EXIOBASE 3: Developing a time series of detailed environmentally extended multi-regional input-output tables,"Journal of Industrial Ecology, 22(3), 502-515",10.1111/jiec.12715,,The background model used throughout
steenmeijer_2022,"Steenmeijer et al., 2022","Steenmeijer, M. A., Rodrigues, J. F. D., Zijp, M. C., & Waaijers-van der Loop, S. L.",2022,The environmental impact of the Dutch health-care sector beyond climate change: An input-output analysis of key impact categories,"The Lancet Planetary Health, 6(12), e949-e957",10.1016/S2542-5196(22)00244-3,,The study replicated for Denmark
takase_2005,"Takase et al., 2005","Takase, K., Kondo, Y., & Washizu, A.",2005,An analysis of sustainable consumption by the waste input-output model,"Journal of Industrial Ecology, 9(1-2), 201-219",10.1162/1088198054084653,,Budget-neutral reallocation of released expenditure; the rebound form used in scenario C2
tennison_2021,"Tennison et al., 2021","Tennison, I., Roschnik, S., Ashby, B., Boyd, R., Hamilton, I., Oreszczyn, T., Owen, A., Romanello, M., Ruyssevelt, P., Sherman, J. D., Smith, A. Z. P., Steele, K., Watts, N., & Eckelman, M. J.",2021,Health care's response to climate change: A carbon footprint assessment of the NHS in England,"The Lancet Planetary Health, 5(2), e84-e92",10.1016/S2542-5196(20)30271-0,,Visitor-to-patient travel ratio used for the Danish visitor term
tukker_2018,"Tukker et al., 2018","Tukker, A., Giljum, S., & Wood, R.",2018,Recent progress in assessment of resource efficiency and environmental impacts embodied in trade: An introduction to this special issue,"Journal of Industrial Ecology, 22(3), 489-501",10.1111/jiec.12736,,Context for MRIO comparison studies
tukker_2020,"Tukker et al., 2020","Tukker, A., Wood, R., & Schmidt, S.",2020,Towards accepted procedures for calculating international consumption-based carbon accounts,"Climate Policy, 20(sup1), S90-S106",10.1080/14693062.2020.1722605,,National error statistics do not transfer to a single sector
usubiaga_2015,"Usubiaga & Acosta-Fernández, 2015","Usubiaga, A., & Acosta-Fernández, J.",2015,Carbon emission accounting in MRIO models: The territory vs. the residence principle,"Economic Systems Research, 27(4), 458-477",10.1080/09535314.2015.1049126,,Residence versus territory principle; central to the Danish shipping question
vestbo_2023,"Vestbo & Press-Kristensen, 2023","Vestbo, J., & Press-Kristensen, K.",2023,Translated impact on carbon footprint from choice of inhaled therapy: A Danish scenario,"European Respiratory Journal, 62(2), 2300856",10.1183/13993003.00856-2023,,Danish pMDI dispensing measurement used to test the manuscript's dose-based scaling
wiebe_2018,"Wiebe et al., 2018","Wiebe, K. S., Bjelle, E. L., Többen, J., & Wood, R.",2018,Implementing exogenous scenarios in a global MRIO model for the estimation of future environmental footprints,"Journal of Economic Structures, 7, 20",10.1186/s40008-018-0118-y,,Exogenous scenario implementation in a global MRIO; the yardstick for the scenario layer
wiedmann_2011,"Wiedmann et al., 2011","Wiedmann, T. O., Suh, S., Feng, K., Lenzen, M., Acquaye, A., Scott, K., & Barrett, J. R.",2011,Application of hybrid life cycle approaches to emerging energy technologies - The case of wind power in the UK,"Environmental Science & Technology, 45(13), 5900-5907",10.1021/es2007287,,Hybrid input-output and process data; the pattern used for the bottom-up items
wood_neuhoff_2019,"Wood, Neuhoff, et al., 2019","Wood, R., Neuhoff, K., Moran, D., Simas, M., Grubb, M., & Stadler, K.",2019,"The structure, drivers and policy implications of the European carbon footprint","Climate Policy, 20(sup1), S39-S57",10.1080/14693062.2019.1639489,,European carbon footprint structure
danske_regioner_2024,"Danske Regioner, 2024",Danske Regioner,2024,Klimahandling i regionerne [Climate action in the regions],Danske Regioner,,https://www.regioner.dk,Target: halve hospitals' consumption-based CO2 by 2035 against 2022; the 2020 target of -75 % on energy and transport by 2030 against 2018
healthcare_denmark_2024,"Healthcare Denmark, 2024",Healthcare Denmark,2024,Transitioning towards a sustainable healthcare sector [White paper],Healthcare Denmark,,https://www.healthcaredenmark.dk,"Danish health green-transition interventions: Lundbeck raw-material efficiency, Demant packaging, Circular Industrial Plastic partnership, regional procurement focus"
dea_kf22_2022,"Danish Energy Agency, 2022",Danish Energy Agency [Energistyrelsen],2022,Klimastatus og -fremskrivning 2022 (KF22),Danish Energy Agency,,https://ens.dk,Grid and district-heat emission-factor projection used in scenario B1
dea_kf25_2025,"Danish Energy Agency, 2025",Danish Energy Agency [Energistyrelsen],2025,Klimastatus og -fremskrivning 2025 (KF25),Danish Energy Agency,,https://ens.dk,Second official projection vintage; reported alongside KF22 as a real uncertainty band
rormose_iliev_2022,"Rørmose Jensen & Iliev, 2022","Rørmose Jensen, P., & Iliev, V.",2022,Consumption-based greenhouse gas account for Denmark using coupled models,"Statistics Denmark, Eurostat grant 101022790, work package 4",,https://www.dst.dk,Diagnosis of the Danish sea-transport allocation in EXIOBASE (74 % domestic intermediate use against 9 %); the benchmark our correction targets
dce_nid_2024,"Danish Centre for Environment and Energy, 2024",Nielsen O.-K. et al.,2024,Denmark's national inventory document 2024 (DCE Scientific Report No. 622),"Aarhus University, Danish Centre for Environment and Energy",,https://dce2.au.dk,Medical N2O under category 2.G.3.a used instead of the manuscript's birth-scaled estimate
dst_affald_2024,"Statistics Denmark, 2024",Statistics Denmark [Danmarks Statistik],2024,AFFALD01: Waste by industry and waste category [Data set],Statistics Denmark,,https://www.statistikbanken.dk,Danish SEEA waste account replacing the 2011 hybrid waste extension
dst_drivhus_2024,"Statistics Denmark, 2024b",Statistics Denmark [Danmarks Statistik],2024,DRIVHUS: Greenhouse gas emissions by industry [Data set],Statistics Denmark,,https://www.statistikbanken.dk,Direct operational emissions of the Danish health industry
dtu_tu_2023,"DTU Transport Survey, 2023",DTU Management [Center for Transport Analytics],2023,Transportvaneundersøgelsen: Tabel 15 - trips distance and time by purpose [Data set],Technical University of Denmark,,https://www.dtu.dk/tu,Purpose code 33 (social/health) used for Danish patient travel
schmidt_merciai_2023,"Schmidt & Merciai, 2023","Schmidt, J. H., & Merciai, S.",2023,Technical report: GHG emissions from Danish consumption 2016. Causal link between consumption and GHG emissions,"CONCITO, prepared by 2.-0 LCA consultants",,https://lca-net.com,"Published Danish comparator, 6.1 Mt for NACE Q with capital endogenised; consequential, so not like for like"
ghosh_2014,"Ghosh et al., 2014","Ghosh, B., Jensen, J. V., & Munch-Petersen, N.",2014,Measuring Denmark's CO2 emissions 1996-2009,Rockwool Foundation Research Unit,,https://www.rockwoolfonden.dk,Independent Danish evidence that shipping dominates the gap between production- and consumption-based accounts
melo_2019,"Melo, 2019","Melo, D.",2019,Bottom-up and top-down environmental extensions for the EUREGIO MRIO [Master's thesis],Leiden University and TNO,,https://studenttheses.universiteitleiden.nl,Compares top-down and bottom-up satellite construction; the caution about satellite error propagation
stadler_2015_report,"Stadler et al., 2015","Stadler, K., Wood, R., Simas, M., Bulavskaya, T., de Koning, A., Kuenen, J., Acosta-Fernández, J., Usubiaga, A., Merciai, S., Schmidt, J., Theurl, M., Kastner, T., Eisenmenger, N., Giljum, S., Lutter, S., Bruckner, M., Tukker, A., & Simas, M.",2015,Integrated report on EXIOBASE 3 (DESIRE project deliverable 5.3),European Commission FP7 DESIRE,,https://cordis.europa.eu/project/id/308552,Methodological report cited inside the EXIOBASE hybrid documentation quoted in the shipping note; the source of the residency-approach statement
wood_2019,"Wood et al., 2019","Wood, R., Moran, D. D., Rodrigues, J. F. D., & Stadler, K.",2019,Variation in trends of consumption based carbon accounts,"Scientific Data, 6, 99",10.1038/s41597-019-0102-x,,"Cross-database dispersion. Table 1: unweighted mean relative standard deviation 8.3 % (production-based) and 11.9 % (consumption-based) across regions; DENMARK's own row is PBCA RSD 19.3 % and CBCA RSD 8.8 % raw, 8.3 % and 4.2 % after normalisation. Denmark is named in the text as a country whose variation is driven by the handling of international transport emissions"
schulte_2026,"Schulte et al., 2026","Schulte, S., Jakobs, A., & Lupton, R.",2026,When correlation matters: A practical guide to dealing with uncertainty in the case of data disaggregation,"Journal of Industrial Ecology, 30, 665-681",10.1007/s44498-026-00048-6,,"Correlation between disaggregates is DERIVED from the relative uncertainty of the aggregate and the shares, not chosen; Dirichlet family for the shares, MaxEnt for the aggregate. Neglecting correlation changed sector multiplier SDs by -34 to +130 % and overstated a national footprint's uncertainty by 46 %"
schulte_2021,"Schulte et al., 2021","Schulte, S., Jakobs, A., & Pauliuk, S.",2021,Relaxing the import proportionality assumption in multi-regional input-output modelling,"Journal of Economic Structures, 10, 20",10.1186/s40008-021-00250-8,,"Import proportionality on EXIOBASE at 49x163: national footprint CVs generally below 4 % for carbon, but 25 % of industry footprints above 10 % (carbon) and above 30 % (land, material, water). The basis for the non-carbon uncertainty bound"
jakobs_2021,"Jakobs et al., 2021","Jakobs, A., Schulte, S., & Pauliuk, S.",2021,Price variance in hybrid-LCA leads to significant uncertainty in carbon footprints,"Frontiers in Sustainability, 2, 666209",10.3389/frsus.2021.666209,,"Price-vintage uncertainty in a hybrid footprint, and the double-counting correction choice worth a factor of almost two"
perkins_suh_2019,"Perkins & Suh, 2019","Perkins, J., & Suh, S.",2019,Uncertainty implications of hybrid approach in LCA: Precision versus accuracy,"Environmental Science & Technology, 53(7), 3681-3688",10.1021/acs.est.9b00084,,Hybridisation moved the mean 38 % while holding relative SD at 3 to 4 %: accuracy gained without precision lost. Supports adding bottom-up items
rodrigues_2016,"Rodrigues, 2016","Rodrigues, J. F. D.",2016,Maximum-entropy prior uncertainty and correlation of statistical economic data,"Journal of Business & Economic Statistics, 34(3), 357-367",10.1080/07350015.2015.1038545,,Uncorrelated disaggregates and a known aggregate uncertainty are MUTUALLY EXCLUSIVE. The load-bearing warrant for holding the calibrated total when the correlation is varied
huijbregts_1998,"Huijbregts, 1998","Huijbregts, M. A. J.",1998,Application of uncertainty and variability in LCA,"The International Journal of Life Cycle Assessment, 3(5), 273-280",10.1007/BF02979835,,The uncertainty/variability taxonomy adopted for MRIO by Schulte et al. (2024)
solazzo_2021,"Solazzo et al., 2021","Solazzo, E., Crippa, M., Guizzardi, D., Muntean, M., Choulga, M., & Janssens-Maenhout, G.",2021,Uncertainties in the Emissions Database for Global Atmospheric Research (EDGAR) emission inventory of greenhouse gases,"Atmospheric Chemistry and Physics, 21(7), 5655-5683",10.5194/acp-21-5655-2021,,"Element-level uncertainties for EDGAR, Denmark's raw emission source in the Schulte et al. (2024) compilation"
lenzen_2013,"Lenzen et al., 2013","Lenzen, M., Moran, D., Kanemoto, K., & Geschke, A.",2013,Building Eora: A global multi-region input-output database at high country and sector resolution,"Economic Systems Research, 25(1), 20-49",10.1080/09535314.2013.769938,,The uncertainty machinery behind the Lenzen-family standard deviations this study calibrates to
groen_heijungs_2017,"Groen & Heijungs, 2017","Groen, E. A., & Heijungs, R.",2017,Ignoring correlation in uncertainty and sensitivity analysis in life cycle assessment: What is the risk?,"Environmental Impact Assessment Review, 62, 98-109",10.1016/j.eiar.2016.10.006,,"The cost of ignoring correlation, in the LCA setting"
ipcc_2000,"IPCC, 2000",Intergovernmental Panel on Climate Change,2000,Quantifying uncertainties in practice (Chapter 6). In Good practice guidance and uncertainty management in national greenhouse gas inventories,IPCC National Greenhouse Gas Inventories Programme,,https://www.ipcc-nggip.iges.or.jp/public/gp/english/,"Tier 1 versus Tier 2, the rules for combining uncertainties, the correlation guidance, and the convergence criterion this study reports against"
ghg_protocol_uncertainty,"GHG Protocol, n.d.",World Resources Institute & World Business Council for Sustainable Development,n.d.,Guidance on uncertainty assessment in GHG inventories and calculating statistical parameter uncertainty,Greenhouse Gas Protocol,,https://ghgprotocol.org/calculation-tools-and-guidance,"Scientific versus estimation uncertainty; the requirement to discuss the direction of systematic bias qualitatively. NOTE: the document carries no publication year, version or imprint; the 2005 commonly attached to it is unverified"
wood_2017,,"Wood, R., Moran, D., Stadler, K., Ivanova, D., Steen-Olsen, K., Tisserant, A., & Hertwich, E. G.",2017,Prioritizing consumption-based carbon policy based on the evaluation of mitigation potential using input-output methods,"Journal of Industrial Ecology, 22(3), 540-552",10.1111/jiec.12702,,Origin of the change coefficient k_a = k_t k_p that Donati et al. (2020) adopt; also the direct final-demand emission vector as an editable object (eq. 12) and the marginal-share re-spend (eq. 9)
zink_geyer_2017,,"Zink, T., & Geyer, R.",2017,Circular economy rebound,"Journal of Industrial Ecology, 21(3), 593-602",10.1111/jiec.12545,,"The canonical statement of circular-economy rebound, cited by Aguilar-Hernandez et al. (2018) where the rebound equation is introduced"
