country_consuming,analysis_year,scenario_id,scenario,scenario_type,ambition,indicator,unit,baseline,scenario_value,change,change_pct,per_capita_change,per_capita_unit,k_t,k_p,k_a,edited_objects,rebound,unbalanced_pct_of_output,ambition_basis,source,note,model
DNK,2022,B1,"B1 grid and district heat, Danish, 2035",background pathway,KF22 to 2035,climate_change,kt CO2eq,4712.417605953846,4567.033461876576,-145.3841440772694,-3.085128616224199,-24.75289423832612,kg CO2eq per capita,0.872861,1,0.872861,B,False,0.0,"the Danish grid, which is what the projection covers",Danish Energy Agency KF22: 122.7 -> 15.6 g CO2e/kWh,"scales the intensity matrix at transmission, distribution and steam nodes in Danish; generation technologies carry almost none of the footprint and are not scaled",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,2022,B1,"B1 grid and district heat, Danish, 2035",background pathway,KF22 to 2035,material_extraction,kt,4259.384222540149,4259.384222540149,0.0,0.0,0.0,kg per capita,0.872861,1,0.872861,B,False,0.0,"the Danish grid, which is what the projection covers",Danish Energy Agency KF22: 122.7 -> 15.6 g CO2e/kWh,"scales the intensity matrix at transmission, distribution and steam nodes in Danish; generation technologies carry almost none of the footprint and are not scaled",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,2022,B1,"B1 grid and district heat, Danish, 2035",background pathway,KF22 to 2035,blue_water_consumption,Mm3,95.50495307556368,95.50495307556366,-1.4210854715202004e-14,-1.4879704410679468e-14,-2.4195195840246405e-15,m3 per capita,0.872861,1,0.872861,B,False,0.0,"the Danish grid, which is what the projection covers",Danish Energy Agency KF22: 122.7 -> 15.6 g CO2e/kWh,"scales the intensity matrix at transmission, distribution and steam nodes in Danish; generation technologies carry almost none of the footprint and are not scaled",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,2022,B1,"B1 grid and district heat, Danish, 2035",background pathway,KF22 to 2035,land_use,km2,4855.460127817185,4855.460127817185,0.0,0.0,0.0,m2 per capita,0.872861,1,0.872861,B,False,0.0,"the Danish grid, which is what the projection covers",Danish Energy Agency KF22: 122.7 -> 15.6 g CO2e/kWh,"scales the intensity matrix at transmission, distribution and steam nodes in Danish; generation technologies carry almost none of the footprint and are not scaled",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,2022,B1,"B1 grid and district heat, Danish, 2035",background pathway,KF22 to 2035,waste_generation,kt,259.41809167194094,256.05099962520643,-3.3670920467345127,-1.2979403344746379,-0.573276225220487,kg per capita,0.872861,1,0.872861,B,False,0.0,"the Danish grid, which is what the projection covers",Danish Energy Agency KF22: 122.7 -> 15.6 g CO2e/kWh,"scales the intensity matrix at transmission, distribution and steam nodes in Danish; generation technologies carry almost none of the footprint and are not scaled",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,2022,B1G,"B1G grid and district heat, every region, 2035",background pathway,KF22 to 2035,climate_change,kt CO2eq,4712.417605953846,4391.645418929778,-320.77218702406753,-6.806955873749217,-54.61420893177527,kg CO2eq per capita,0.872861,1,0.872861,B,False,0.0,"every region's grid, at Denmark's projected rate; an upper bound, not an evidenced trajectory",Danish Energy Agency KF22: 122.7 -> 15.6 g CO2e/kWh,"scales the intensity matrix at transmission, distribution and steam nodes in every region; generation technologies carry almost none of the footprint and are not scaled",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,2022,B1G,"B1G grid and district heat, every region, 2035",background pathway,KF22 to 2035,material_extraction,kt,4259.384222540149,4249.584193134679,-9.800029405470013,-0.23008089652042746,-1.6685388420153868,kg per capita,0.872861,1,0.872861,B,False,0.0,"every region's grid, at Denmark's projected rate; an upper bound, not an evidenced trajectory",Danish Energy Agency KF22: 122.7 -> 15.6 g CO2e/kWh,"scales the intensity matrix at transmission, distribution and steam nodes in every region; generation technologies carry almost none of the footprint and are not scaled",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,2022,B1G,"B1G grid and district heat, every region, 2035",background pathway,KF22 to 2035,blue_water_consumption,Mm3,95.50495307556368,95.50074176387696,-0.0042113116867170675,-0.004409521758923928,-0.0007170118409235279,m3 per capita,0.872861,1,0.872861,B,False,0.0,"every region's grid, at Denmark's projected rate; an upper bound, not an evidenced trajectory",Danish Energy Agency KF22: 122.7 -> 15.6 g CO2e/kWh,"scales the intensity matrix at transmission, distribution and steam nodes in every region; generation technologies carry almost none of the footprint and are not scaled",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,2022,B1G,"B1G grid and district heat, every region, 2035",background pathway,KF22 to 2035,land_use,km2,4855.460127817185,4854.335770064864,-1.1243577523209751,-0.02315656441867313,-0.1914315258096603,m2 per capita,0.872861,1,0.872861,B,False,0.0,"every region's grid, at Denmark's projected rate; an upper bound, not an evidenced trajectory",Danish Energy Agency KF22: 122.7 -> 15.6 g CO2e/kWh,"scales the intensity matrix at transmission, distribution and steam nodes in every region; generation technologies carry almost none of the footprint and are not scaled",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,2022,B1G,"B1G grid and district heat, every region, 2035",background pathway,KF22 to 2035,waste_generation,kt,259.41809167194094,253.85986599794745,-5.5582256739934905,-2.142574420377126,-0.946335469623063,kg per capita,0.872861,1,0.872861,B,False,0.0,"every region's grid, at Denmark's projected rate; an upper bound, not an evidenced trajectory",Danish Energy Agency KF22: 122.7 -> 15.6 g CO2e/kWh,"scales the intensity matrix at transmission, distribution and steam nodes in every region; generation technologies carry almost none of the footprint and are not scaled",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,2022,B1,"B1 grid and district heat, Danish, 2030",background pathway,KF25 to 2030,climate_change,kt CO2eq,4712.417605953846,4589.838817810266,-122.57878814357991,-2.601186872502752,-20.870087298980817,kg CO2eq per capita,0.735941,1,0.735941,B,False,0.0,"the Danish grid, which is what the projection covers",Danish Energy Agency KF25: 122.7 -> 32.4 g CO2e/kWh,"scales the intensity matrix at transmission, distribution and steam nodes in Danish; generation technologies carry almost none of the footprint and are not scaled",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,2022,B1,"B1 grid and district heat, Danish, 2030",background pathway,KF25 to 2030,material_extraction,kt,4259.384222540149,4259.384222540149,0.0,0.0,0.0,kg per capita,0.735941,1,0.735941,B,False,0.0,"the Danish grid, which is what the projection covers",Danish Energy Agency KF25: 122.7 -> 32.4 g CO2e/kWh,"scales the intensity matrix at transmission, distribution and steam nodes in Danish; generation technologies carry almost none of the footprint and are not scaled",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,2022,B1,"B1 grid and district heat, Danish, 2030",background pathway,KF25 to 2030,blue_water_consumption,Mm3,95.50495307556368,95.50495307556366,-1.4210854715202004e-14,-1.4879704410679468e-14,-2.4195195840246405e-15,m3 per capita,0.735941,1,0.735941,B,False,0.0,"the Danish grid, which is what the projection covers",Danish Energy Agency KF25: 122.7 -> 32.4 g CO2e/kWh,"scales the intensity matrix at transmission, distribution and steam nodes in Danish; generation technologies carry almost none of the footprint and are not scaled",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,2022,B1,"B1 grid and district heat, Danish, 2030",background pathway,KF25 to 2030,land_use,km2,4855.460127817185,4855.460127817185,0.0,0.0,0.0,m2 per capita,0.735941,1,0.735941,B,False,0.0,"the Danish grid, which is what the projection covers",Danish Energy Agency KF25: 122.7 -> 32.4 g CO2e/kWh,"scales the intensity matrix at transmission, distribution and steam nodes in Danish; generation technologies carry almost none of the footprint and are not scaled",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,2022,B1,"B1 grid and district heat, Danish, 2030",background pathway,KF25 to 2030,waste_generation,kt,259.41809167194094,256.57917092665497,-2.838920745285975,-1.094341850635484,-0.48335054283296186,kg per capita,0.735941,1,0.735941,B,False,0.0,"the Danish grid, which is what the projection covers",Danish Energy Agency KF25: 122.7 -> 32.4 g CO2e/kWh,"scales the intensity matrix at transmission, distribution and steam nodes in Danish; generation technologies carry almost none of the footprint and are not scaled",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,2022,B1G,"B1G grid and district heat, every region, 2030",background pathway,KF25 to 2030,climate_change,kt CO2eq,4712.417605953846,4441.9626247374745,-270.4549812163714,-5.739198089631707,-46.047274197379274,kg CO2eq per capita,0.735941,1,0.735941,B,False,0.0,"every region's grid, at Denmark's projected rate; an upper bound, not an evidenced trajectory",Danish Energy Agency KF25: 122.7 -> 32.4 g CO2e/kWh,"scales the intensity matrix at transmission, distribution and steam nodes in every region; generation technologies carry almost none of the footprint and are not scaled",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,2022,B1G,"B1G grid and district heat, every region, 2030",background pathway,KF25 to 2030,material_extraction,kt,4259.384222540149,4251.121452649261,-8.262769890887284,-0.19398977549763416,-1.4068072589542864,kg per capita,0.735941,1,0.735941,B,False,0.0,"every region's grid, at Denmark's projected rate; an upper bound, not an evidenced trajectory",Danish Energy Agency KF25: 122.7 -> 32.4 g CO2e/kWh,"scales the intensity matrix at transmission, distribution and steam nodes in every region; generation technologies carry almost none of the footprint and are not scaled",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,2022,B1G,"B1G grid and district heat, every region, 2030",background pathway,KF25 to 2030,blue_water_consumption,Mm3,95.50495307556368,95.5014023617886,-0.0035507137750698803,-0.0037178320712440427,-0.0006045393952875634,m3 per capita,0.735941,1,0.735941,B,False,0.0,"every region's grid, at Denmark's projected rate; an upper bound, not an evidenced trajectory",Danish Energy Agency KF25: 122.7 -> 32.4 g CO2e/kWh,"scales the intensity matrix at transmission, distribution and steam nodes in every region; generation technologies carry almost none of the footprint and are not scaled",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,2022,B1G,"B1G grid and district heat, every region, 2030",background pathway,KF25 to 2030,land_use,km2,4855.460127817185,4854.512139908365,-0.9479879088203234,-0.01952416215693444,-0.16140305117296624,m2 per capita,0.735941,1,0.735941,B,False,0.0,"every region's grid, at Denmark's projected rate; an upper bound, not an evidenced trajectory",Danish Energy Agency KF25: 122.7 -> 32.4 g CO2e/kWh,"scales the intensity matrix at transmission, distribution and steam nodes in every region; generation technologies carry almost none of the footprint and are not scaled",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,2022,B1G,"B1G grid and district heat, every region, 2030",background pathway,KF25 to 2030,waste_generation,kt,259.41809167194094,254.73174453504447,-4.686347136896472,-1.80648431521993,-0.7978906900743472,kg per capita,0.735941,1,0.735941,B,False,0.0,"every region's grid, at Denmark's projected rate; an upper bound, not an evidenced trajectory",Danish Energy Agency KF25: 122.7 -> 32.4 g CO2e/kWh,"scales the intensity matrix at transmission, distribution and steam nodes in every region; generation technologies carry almost none of the footprint and are not scaled",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,2022,B1,"B1 grid and district heat, Danish, 2035",background pathway,KF25 to 2035,climate_change,kt CO2eq,4712.417605953846,4584.408971159388,-128.00863479445798,-2.7164110971983266,-21.794565141682014,kg CO2eq per capita,0.768541,1,0.768541,B,False,0.0,"the Danish grid, which is what the projection covers",Danish Energy Agency KF25: 122.7 -> 28.4 g CO2e/kWh,"scales the intensity matrix at transmission, distribution and steam nodes in Danish; generation technologies carry almost none of the footprint and are not scaled",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,2022,B1,"B1 grid and district heat, Danish, 2035",background pathway,KF25 to 2035,material_extraction,kt,4259.384222540149,4259.384222540149,0.0,0.0,0.0,kg per capita,0.768541,1,0.768541,B,False,0.0,"the Danish grid, which is what the projection covers",Danish Energy Agency KF25: 122.7 -> 28.4 g CO2e/kWh,"scales the intensity matrix at transmission, distribution and steam nodes in Danish; generation technologies carry almost none of the footprint and are not scaled",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,2022,B1,"B1 grid and district heat, Danish, 2035",background pathway,KF25 to 2035,blue_water_consumption,Mm3,95.50495307556368,95.50495307556366,-1.4210854715202004e-14,-1.4879704410679468e-14,-2.4195195840246405e-15,m3 per capita,0.768541,1,0.768541,B,False,0.0,"the Danish grid, which is what the projection covers",Danish Energy Agency KF25: 122.7 -> 28.4 g CO2e/kWh,"scales the intensity matrix at transmission, distribution and steam nodes in Danish; generation technologies carry almost none of the footprint and are not scaled",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,2022,B1,"B1 grid and district heat, Danish, 2035",background pathway,KF25 to 2035,land_use,km2,4855.460127817185,4855.460127817185,0.0,0.0,0.0,m2 per capita,0.768541,1,0.768541,B,False,0.0,"the Danish grid, which is what the projection covers",Danish Energy Agency KF25: 122.7 -> 28.4 g CO2e/kWh,"scales the intensity matrix at transmission, distribution and steam nodes in Danish; generation technologies carry almost none of the footprint and are not scaled",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,2022,B1,"B1 grid and district heat, Danish, 2035",background pathway,KF25 to 2035,waste_generation,kt,259.41809167194094,256.45341585488154,-2.964675817059401,-1.1428176801209833,-0.5047614195918905,kg per capita,0.768541,1,0.768541,B,False,0.0,"the Danish grid, which is what the projection covers",Danish Energy Agency KF25: 122.7 -> 28.4 g CO2e/kWh,"scales the intensity matrix at transmission, distribution and steam nodes in Danish; generation technologies carry almost none of the footprint and are not scaled",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,2022,B1G,"B1G grid and district heat, every region, 2035",background pathway,KF25 to 2035,climate_change,kt CO2eq,4712.417605953846,4429.982337640404,-282.43526831344207,-5.993426133469214,-48.087020562711686,kg CO2eq per capita,0.768541,1,0.768541,B,False,0.0,"every region's grid, at Denmark's projected rate; an upper bound, not an evidenced trajectory",Danish Energy Agency KF25: 122.7 -> 28.4 g CO2e/kWh,"scales the intensity matrix at transmission, distribution and steam nodes in every region; generation technologies carry almost none of the footprint and are not scaled",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,2022,B1G,"B1G grid and district heat, every region, 2035",background pathway,KF25 to 2035,material_extraction,kt,4259.384222540149,4250.755438479123,-8.628784061025726,-0.20258289955067307,-1.469124302540211,kg per capita,0.768541,1,0.768541,B,False,0.0,"every region's grid, at Denmark's projected rate; an upper bound, not an evidenced trajectory",Danish Energy Agency KF25: 122.7 -> 28.4 g CO2e/kWh,"scales the intensity matrix at transmission, distribution and steam nodes in every region; generation technologies carry almost none of the footprint and are not scaled",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,2022,B1G,"B1G grid and district heat, every region, 2035",background pathway,KF25 to 2035,blue_water_consumption,Mm3,95.50495307556368,95.50124507657155,-0.0037079989921267043,-0.0038825200921180805,-0.0006313185490100664,m3 per capita,0.768541,1,0.768541,B,False,0.0,"every region's grid, at Denmark's projected rate; an upper bound, not an evidenced trajectory",Danish Energy Agency KF25: 122.7 -> 28.4 g CO2e/kWh,"scales the intensity matrix at transmission, distribution and steam nodes in every region; generation technologies carry almost none of the footprint and are not scaled",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,2022,B1G,"B1G grid and district heat, every region, 2035",background pathway,KF25 to 2035,land_use,km2,4855.460127817185,4854.470147088484,-0.9899807287010844,-0.020389019838293658,-0.16855268799116774,m2 per capita,0.768541,1,0.768541,B,False,0.0,"every region's grid, at Denmark's projected rate; an upper bound, not an evidenced trajectory",Danish Energy Agency KF25: 122.7 -> 28.4 g CO2e/kWh,"scales the intensity matrix at transmission, distribution and steam nodes in every region; generation technologies carry almost none of the footprint and are not scaled",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,2022,B1G,"B1G grid and district heat, every region, 2035",background pathway,KF25 to 2035,waste_generation,kt,259.41809167194094,254.5241544071642,-4.893937264776753,-1.8865057688288007,-0.8332346852050002,kg per capita,0.768541,1,0.768541,B,False,0.0,"every region's grid, at Denmark's projected rate; an upper bound, not an evidenced trajectory",Danish Energy Agency KF25: 122.7 -> 28.4 g CO2e/kWh,"scales the intensity matrix at transmission, distribution and steam nodes in every region; generation technologies carry almost none of the footprint and are not scaled",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,2022,P1,P1 hospital energy and transport,intervention,"-75 % by 2030, 50% of the target met",climate_change,kt CO2eq,4712.417605953846,4685.830785094257,-26.586820859588443,-0.564186434283703,-4.52663369205479,kg CO2eq per capita,0.75,0.5,0.375,y,False,0.0,share of the stated target actually met; both half and full delivery are reported,Danske Regioner (2020): all public hospitals to cut CO2 from energy and transport by 75 % by 2030 against 2018,"acts on the health sector's purchases of Danish electricity, distribution and steam. The regions' own measures - climate-friendly buildings, heating conversion, hybrid ambulances - are inputs to this reduction, not separate levers, and cannot be resolved individually in a model with one health industry",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,2022,P1,P1 hospital energy and transport,intervention,"-75 % by 2030, 50% of the target met",material_extraction,kt,4259.384222540149,4248.421584667527,-10.962637872621599,-0.25737612058120135,-1.866482879246095,kg per capita,0.75,0.5,0.375,y,False,0.0,share of the stated target actually met; both half and full delivery are reported,Danske Regioner (2020): all public hospitals to cut CO2 from energy and transport by 75 % by 2030 against 2018,"acts on the health sector's purchases of Danish electricity, distribution and steam. The regions' own measures - climate-friendly buildings, heating conversion, hybrid ambulances - are inputs to this reduction, not separate levers, and cannot be resolved individually in a model with one health industry",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,2022,P1,P1 hospital energy and transport,intervention,"-75 % by 2030, 50% of the target met",blue_water_consumption,Mm3,95.50495307556368,95.41666720384757,-0.08828587171610991,-0.0924411445407004,-0.015031424913612496,m3 per capita,0.75,0.5,0.375,y,False,0.0,share of the stated target actually met; both half and full delivery are reported,Danske Regioner (2020): all public hospitals to cut CO2 from energy and transport by 75 % by 2030 against 2018,"acts on the health sector's purchases of Danish electricity, distribution and steam. The regions' own measures - climate-friendly buildings, heating conversion, hybrid ambulances - are inputs to this reduction, not separate levers, and cannot be resolved individually in a model with one health industry",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,2022,P1,P1 hospital energy and transport,intervention,"-75 % by 2030, 50% of the target met",land_use,km2,4855.460127817185,4850.47325461718,-4.986873200004993,-0.10270650090266288,-0.8490578232111773,m2 per capita,0.75,0.5,0.375,y,False,0.0,share of the stated target actually met; both half and full delivery are reported,Danske Regioner (2020): all public hospitals to cut CO2 from energy and transport by 75 % by 2030 against 2018,"acts on the health sector's purchases of Danish electricity, distribution and steam. The regions' own measures - climate-friendly buildings, heating conversion, hybrid ambulances - are inputs to this reduction, not separate levers, and cannot be resolved individually in a model with one health industry",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,2022,P1,P1 hospital energy and transport,intervention,"-75 % by 2030, 50% of the target met",waste_generation,kt,259.41809167194094,259.16508022159684,-0.2530114503441041,-0.0975303799027484,-0.04307736384323003,kg per capita,0.75,0.5,0.375,y,False,0.0,share of the stated target actually met; both half and full delivery are reported,Danske Regioner (2020): all public hospitals to cut CO2 from energy and transport by 75 % by 2030 against 2018,"acts on the health sector's purchases of Danish electricity, distribution and steam. The regions' own measures - climate-friendly buildings, heating conversion, hybrid ambulances - are inputs to this reduction, not separate levers, and cannot be resolved individually in a model with one health industry",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,2022,P1,P1 hospital energy and transport,intervention,"-75 % by 2030, 100% of the target met",climate_change,kt CO2eq,4712.417605953846,4659.243964234665,-53.17364171918052,-1.1283728685674832,-9.0532673841102,kg CO2eq per capita,0.75,1,0.75,y,False,0.0,share of the stated target actually met; both half and full delivery are reported,Danske Regioner (2020): all public hospitals to cut CO2 from energy and transport by 75 % by 2030 against 2018,"acts on the health sector's purchases of Danish electricity, distribution and steam. The regions' own measures - climate-friendly buildings, heating conversion, hybrid ambulances - are inputs to this reduction, not separate levers, and cannot be resolved individually in a model with one health industry",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
