approach_folder,file,size_bytes,sha256_16,approach,reference,script,equations,inputs,generated_utc,monetary_unit,country_coding
11_capital_gfcf,11_capital_gfcf/capital_endogenised_by_producing_node.csv.gz,169132,fefb6b6a30cdd5a8,"Capital boundary: excluded, exogenous service flow, endogenised","Södersten, Wood & Hertwich 2018 (ES&T 52:13250); Wood & Hertwich 2018; Malik et al. 2018",analysis.capital_gfcf,"f_A = f + C S L y_cap ; K[:,j] = g_r cfc_j / x_j ; A' = A + K","prepared background; DST NABK69 P.51c/P.51g by asset, 2022",2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
11_capital_gfcf,11_capital_gfcf/capital_endogenised_domestic_vs_imported.csv,186,307325093d4dbe4a,"Capital boundary: excluded, exogenous service flow, endogenised","Södersten, Wood & Hertwich 2018 (ES&T 52:13250); Wood & Hertwich 2018; Malik et al. 2018",analysis.capital_gfcf,"f_A = f + C S L y_cap ; K[:,j] = g_r cfc_j / x_j ; A' = A + K","prepared background; DST NABK69 P.51c/P.51g by asset, 2022",2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
11_capital_gfcf,11_capital_gfcf/capital_endogenised_sodersten.csv,2966,802b2609f9caca5e,"Capital boundary: excluded, exogenous service flow, endogenised","Södersten, Wood & Hertwich 2018 (ES&T 52:13250); Wood & Hertwich 2018; Malik et al. 2018",analysis.capital_gfcf,"f_A = f + C S L y_cap ; K[:,j] = g_r cfc_j / x_j ; A' = A + K","prepared background; DST NABK69 P.51c/P.51g by asset, 2022",2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
11_capital_gfcf,11_capital_gfcf/capital_scenarios_by_indicator.csv,4608,f456acdd29b7cbca,"Capital boundary: excluded, exogenous service flow, endogenised","Södersten, Wood & Hertwich 2018 (ES&T 52:13250); Wood & Hertwich 2018; Malik et al. 2018",analysis.capital_gfcf,"f_A = f + C S L y_cap ; K[:,j] = g_r cfc_j / x_j ; A' = A + K","prepared background; DST NABK69 P.51c/P.51g by asset, 2022",2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
12_impact_categories_full,12_impact_categories_full/README.md,2769,cd75668f3cab8582,"All DESIRE impact categories (CML, USEtox, EcoIndicator 99, ILCD)",DESIRE/EXIOBASE characterisation v3.4; ILCD recommended CFs; Eckelman & Sherman 2016 for the category set and DALY comparison,analysis.impact_categories_full,e = R xhat^-1 L y ; impact = Q_full e,raw 1113-row stressor matrix; characterisation_desire_version3_4_adapted.xlsx,2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
12_impact_categories_full,12_impact_categories_full/impact_categories_all_methods.csv,46155,a0cfefc67030621b,"All DESIRE impact categories (CML, USEtox, EcoIndicator 99, ILCD)",DESIRE/EXIOBASE characterisation v3.4; ILCD recommended CFs; Eckelman & Sherman 2016 for the category set and DALY comparison,analysis.impact_categories_full,e = R xhat^-1 L y ; impact = Q_full e,raw 1113-row stressor matrix; characterisation_desire_version3_4_adapted.xlsx,2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
12_impact_categories_full,12_impact_categories_full/impact_categories_by_producing_node.csv.gz,15961916,fd6fcb2062ed2a46,"All DESIRE impact categories (CML, USEtox, EcoIndicator 99, ILCD)",DESIRE/EXIOBASE characterisation v3.4; ILCD recommended CFs; Eckelman & Sherman 2016 for the category set and DALY comparison,analysis.impact_categories_full,e = R xhat^-1 L y ; impact = Q_full e,raw 1113-row stressor matrix; characterisation_desire_version3_4_adapted.xlsx,2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
12_impact_categories_full,12_impact_categories_full/impact_categories_by_sector_group.csv,234993,1a45ef4d94e7f833,"All DESIRE impact categories (CML, USEtox, EcoIndicator 99, ILCD)",DESIRE/EXIOBASE characterisation v3.4; ILCD recommended CFs; Eckelman & Sherman 2016 for the category set and DALY comparison,analysis.impact_categories_full,e = R xhat^-1 L y ; impact = Q_full e,raw 1113-row stressor matrix; characterisation_desire_version3_4_adapted.xlsx,2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
12_impact_categories_full,12_impact_categories_full/impact_categories_domestic_vs_imported.csv,26755,7851be3532987506,"All DESIRE impact categories (CML, USEtox, EcoIndicator 99, ILCD)",DESIRE/EXIOBASE characterisation v3.4; ILCD recommended CFs; Eckelman & Sherman 2016 for the category set and DALY comparison,analysis.impact_categories_full,e = R xhat^-1 L y ; impact = Q_full e,raw 1113-row stressor matrix; characterisation_desire_version3_4_adapted.xlsx,2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
12_impact_categories_full,12_impact_categories_full/stressor_totals_uncharacterised.csv,230854,5543e99acdb07b38,"All DESIRE impact categories (CML, USEtox, EcoIndicator 99, ILCD)",DESIRE/EXIOBASE characterisation v3.4; ILCD recommended CFs; Eckelman & Sherman 2016 for the category set and DALY comparison,analysis.impact_categories_full,e = R xhat^-1 L y ; impact = Q_full e,raw 1113-row stressor matrix; characterisation_desire_version3_4_adapted.xlsx,2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
13_steenmeijer_replication,13_steenmeijer_replication/README.md,1654,2ee7da6edee4954e,"Denmark against the Dutch template, table by table",Steenmeijer et al. 2022 (Lancet Planet Health 6:e949) main table and table S7; RIVM report 2022-0159 tables 8 and 9,analysis.steenmeijer_replication,"f_services = Z[:,h] (E_H / x_h); per-capita normalisation",Danish footprint by demand component; scopes summary; published Dutch values transcribed with provenance,2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
13_steenmeijer_replication,13_steenmeijer_replication/national_shares_dk_vs_nl.csv,1618,180f2361da2e174e,"Denmark against the Dutch template, table by table",Steenmeijer et al. 2022 (Lancet Planet Health 6:e949) main table and table S7; RIVM report 2022-0159 tables 8 and 9,analysis.steenmeijer_replication,"f_services = Z[:,h] (E_H / x_h); per-capita normalisation",Danish footprint by demand component; scopes summary; published Dutch values transcribed with provenance,2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
13_steenmeijer_replication,13_steenmeijer_replication/template_table_dk_vs_nl.csv,11533,4b3aca9bae13dd54,"Denmark against the Dutch template, table by table",Steenmeijer et al. 2022 (Lancet Planet Health 6:e949) main table and table S7; RIVM report 2022-0159 tables 8 and 9,analysis.steenmeijer_replication,"f_services = Z[:,h] (E_H / x_h); per-capita normalisation",Danish footprint by demand component; scopes summary; published Dutch values transcribed with provenance,2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
14_eckelman_replication,14_eckelman_replication/README.md,1478,1fd9a83177558c75,"Denmark on Eckelman & Sherman's nine-category frame, plus DALYs",Eckelman & Sherman 2016 (PLoS ONE 11:e0157014) table 2,analysis.eckelman_replication,share = f_health / f_national per category; DALY from ILCD endpoints,12_impact_categories_full; published US values transcribed with provenance,2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
14_eckelman_replication,14_eckelman_replication/damage_daly_dk_vs_us.csv,742,101969cc97522d48,"Denmark on Eckelman & Sherman's nine-category frame, plus DALYs",Eckelman & Sherman 2016 (PLoS ONE 11:e0157014) table 2,analysis.eckelman_replication,share = f_health / f_national per category; DALY from ILCD endpoints,12_impact_categories_full; published US values transcribed with provenance,2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
14_eckelman_replication,14_eckelman_replication/nine_categories_dk_vs_us.csv,4877,ec592e3413b60fa6,"Denmark on Eckelman & Sherman's nine-category frame, plus DALYs",Eckelman & Sherman 2016 (PLoS ONE 11:e0157014) table 2,analysis.eckelman_replication,share = f_health / f_national per category; DALY from ILCD endpoints,12_impact_categories_full; published US values transcribed with provenance,2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
15_gwp_vintage,15_gwp_vintage/README.md,1508,d1fbf4310f815698,"Climate characterisation vintage sensitivity, SAR to AR6",IPCC AR6 WG1 ch.7 table 7.15; AR5 table 8.7; AR4 table 2.14,analysis.gwp_vintage,f = sum_g m_g GWP100_g(vintage) + fixed CO2eq stressors,raw stressor masses by species; IPCC GWP100 by assessment report,2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
15_gwp_vintage,15_gwp_vintage/gwp_by_species.csv,573,1c31f3344e6f74bf,"Climate characterisation vintage sensitivity, SAR to AR6",IPCC AR6 WG1 ch.7 table 7.15; AR5 table 8.7; AR4 table 2.14,analysis.gwp_vintage,f = sum_g m_g GWP100_g(vintage) + fixed CO2eq stressors,raw stressor masses by species; IPCC GWP100 by assessment report,2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
15_gwp_vintage,15_gwp_vintage/gwp_vintage_sensitivity.csv,2241,9cdb052a4a15f6f0,"Climate characterisation vintage sensitivity, SAR to AR6",IPCC AR6 WG1 ch.7 table 7.15; AR5 table 8.7; AR4 table 2.14,analysis.gwp_vintage,f = sum_g m_g GWP100_g(vintage) + fixed CO2eq stressors,raw stressor masses by species; IPCC GWP100 by assessment report,2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
19_tables_of_record,19_tables_of_record/README.md,2941,84690b13f3d53e15,"Every table circulated during drafting, regenerated from the gold facts so the record carries one verified value each","internal; each table carries its own source and note, and the supersedes line names the earlier value it replaces",analysis.build_tables_record,none; the tables are selections and restatements of gold facts,the gold fact tables listed in each table's source line,2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
19_tables_of_record,19_tables_of_record/danish_health_footprint_tables_of_record.docx,47922,24f66817f270896e,"Every table circulated during drafting, regenerated from the gold facts so the record carries one verified value each","internal; each table carries its own source and note, and the supersedes line names the earlier value it replaces",analysis.build_tables_record,none; the tables are selections and restatements of gold facts,the gold fact tables listed in each table's source line,2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
19_tables_of_record,19_tables_of_record/table_01.csv,310,0fb583419b15eab3,"Every table circulated during drafting, regenerated from the gold facts so the record carries one verified value each","internal; each table carries its own source and note, and the supersedes line names the earlier value it replaces",analysis.build_tables_record,none; the tables are selections and restatements of gold facts,the gold fact tables listed in each table's source line,2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
19_tables_of_record,19_tables_of_record/table_02.csv,244,0a04b882c874f4a2,"Every table circulated during drafting, regenerated from the gold facts so the record carries one verified value each","internal; each table carries its own source and note, and the supersedes line names the earlier value it replaces",analysis.build_tables_record,none; the tables are selections and restatements of gold facts,the gold fact tables listed in each table's source line,2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
19_tables_of_record,19_tables_of_record/table_03.csv,968,6abb81df33de1112,"Every table circulated during drafting, regenerated from the gold facts so the record carries one verified value each","internal; each table carries its own source and note, and the supersedes line names the earlier value it replaces",analysis.build_tables_record,none; the tables are selections and restatements of gold facts,the gold fact tables listed in each table's source line,2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
19_tables_of_record,19_tables_of_record/table_04.csv,336,2197d98fde6c1444,"Every table circulated during drafting, regenerated from the gold facts so the record carries one verified value each","internal; each table carries its own source and note, and the supersedes line names the earlier value it replaces",analysis.build_tables_record,none; the tables are selections and restatements of gold facts,the gold fact tables listed in each table's source line,2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
19_tables_of_record,19_tables_of_record/table_05.csv,665,a1cd61aa38f114e6,"Every table circulated during drafting, regenerated from the gold facts so the record carries one verified value each","internal; each table carries its own source and note, and the supersedes line names the earlier value it replaces",analysis.build_tables_record,none; the tables are selections and restatements of gold facts,the gold fact tables listed in each table's source line,2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
19_tables_of_record,19_tables_of_record/table_06.csv,295,ebc183c4affeff5d,"Every table circulated during drafting, regenerated from the gold facts so the record carries one verified value each","internal; each table carries its own source and note, and the supersedes line names the earlier value it replaces",analysis.build_tables_record,none; the tables are selections and restatements of gold facts,the gold fact tables listed in each table's source line,2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
19_tables_of_record,19_tables_of_record/table_07.csv,79,1ae6f3b720946412,"Every table circulated during drafting, regenerated from the gold facts so the record carries one verified value each","internal; each table carries its own source and note, and the supersedes line names the earlier value it replaces",analysis.build_tables_record,none; the tables are selections and restatements of gold facts,the gold fact tables listed in each table's source line,2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
19_tables_of_record,19_tables_of_record/table_08.csv,353,140bba560372cecd,"Every table circulated during drafting, regenerated from the gold facts so the record carries one verified value each","internal; each table carries its own source and note, and the supersedes line names the earlier value it replaces",analysis.build_tables_record,none; the tables are selections and restatements of gold facts,the gold fact tables listed in each table's source line,2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
19_tables_of_record,19_tables_of_record/table_10.csv,401,c802770bcfa02878,"Every table circulated during drafting, regenerated from the gold facts so the record carries one verified value each","internal; each table carries its own source and note, and the supersedes line names the earlier value it replaces",analysis.build_tables_record,none; the tables are selections and restatements of gold facts,the gold fact tables listed in each table's source line,2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
19_tables_of_record,19_tables_of_record/table_11.csv,228,676a10fed0b23666,"Every table circulated during drafting, regenerated from the gold facts so the record carries one verified value each","internal; each table carries its own source and note, and the supersedes line names the earlier value it replaces",analysis.build_tables_record,none; the tables are selections and restatements of gold facts,the gold fact tables listed in each table's source line,2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
19_tables_of_record,19_tables_of_record/table_12.csv,728,a1820f661dc3d89f,"Every table circulated during drafting, regenerated from the gold facts so the record carries one verified value each","internal; each table carries its own source and note, and the supersedes line names the earlier value it replaces",analysis.build_tables_record,none; the tables are selections and restatements of gold facts,the gold fact tables listed in each table's source line,2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
19_tables_of_record,19_tables_of_record/table_13.csv,1773,933fdc110599d32a,"Every table circulated during drafting, regenerated from the gold facts so the record carries one verified value each","internal; each table carries its own source and note, and the supersedes line names the earlier value it replaces",analysis.build_tables_record,none; the tables are selections and restatements of gold facts,the gold fact tables listed in each table's source line,2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
19_tables_of_record,19_tables_of_record/table_14.csv,879,e70e4d97f3be1114,"Every table circulated during drafting, regenerated from the gold facts so the record carries one verified value each","internal; each table carries its own source and note, and the supersedes line names the earlier value it replaces",analysis.build_tables_record,none; the tables are selections and restatements of gold facts,the gold fact tables listed in each table's source line,2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
19_tables_of_record,19_tables_of_record/table_15.csv,930,7f3cbe42cb3aa8b2,"Every table circulated during drafting, regenerated from the gold facts so the record carries one verified value each","internal; each table carries its own source and note, and the supersedes line names the earlier value it replaces",analysis.build_tables_record,none; the tables are selections and restatements of gold facts,the gold fact tables listed in each table's source line,2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
19_tables_of_record,19_tables_of_record/tables_of_record_index.csv,2219,5add8efae6b0538a,"Every table circulated during drafting, regenerated from the gold facts so the record carries one verified value each","internal; each table carries its own source and note, and the supersedes line names the earlier value it replaces",analysis.build_tables_record,none; the tables are selections and restatements of gold facts,the gold fact tables listed in each table's source line,2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
18_mitigation_scenarios,18_mitigation_scenarios/README.md,2238,f70fbc6ada43f58f,Mitigation levers an attributional EE-MRIO can credibly model,Danske Regioner 2024 regional target; Danish Energy Agency KF22/KF25 grid factors; Jeswani & Azapagic 2019; Wilkinson et al. 2019,analysis.mitigation_scenarios,intensity scaling on energy nodes; bottom-up arithmetic; demand scaling,prepared background; scopes summary; DEA published emission factors,2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
18_mitigation_scenarios,18_mitigation_scenarios/burden_shifting.csv,5598,a859a8a20ab70b24,Mitigation levers an attributional EE-MRIO can credibly model,Danske Regioner 2024 regional target; Danish Energy Agency KF22/KF25 grid factors; Jeswani & Azapagic 2019; Wilkinson et al. 2019,analysis.mitigation_scenarios,intensity scaling on energy nodes; bottom-up arithmetic; demand scaling,prepared background; scopes summary; DEA published emission factors,2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
18_mitigation_scenarios,18_mitigation_scenarios/mitigation_scenarios.csv,147345,f3919a24d84ab17f,Mitigation levers an attributional EE-MRIO can credibly model,Danske Regioner 2024 regional target; Danish Energy Agency KF22/KF25 grid factors; Jeswani & Azapagic 2019; Wilkinson et al. 2019,analysis.mitigation_scenarios,intensity scaling on energy nodes; bottom-up arithmetic; demand scaling,prepared background; scopes summary; DEA published emission factors,2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
18_mitigation_scenarios,18_mitigation_scenarios/scenario_selection.csv,567,2b5949d5320ca944,Mitigation levers an attributional EE-MRIO can credibly model,Danske Regioner 2024 regional target; Danish Energy Agency KF22/KF25 grid factors; Jeswani & Azapagic 2019; Wilkinson et al. 2019,analysis.mitigation_scenarios,intensity scaling on energy nodes; bottom-up arithmetic; demand scaling,prepared background; scopes summary; DEA published emission factors,2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
18_mitigation_scenarios,18_mitigation_scenarios/scenarios_by_producing_node.csv.gz,23348542,fbb126d2ce9cf372,Mitigation levers an attributional EE-MRIO can credibly model,Danske Regioner 2024 regional target; Danish Energy Agency KF22/KF25 grid factors; Jeswani & Azapagic 2019; Wilkinson et al. 2019,analysis.mitigation_scenarios,intensity scaling on energy nodes; bottom-up arithmetic; demand scaling,prepared background; scopes summary; DEA published emission factors,2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
